"Phylum"	"Species"	"Habitat"	"AQP1.like"	"AQP3.like"	"AQP8.like"	"AQP11.like"
"Arthropoda"	"AAEG1"	"Freshwater"	6	0	0	1
"Arthropoda"	"AAME1"	"Terrestrial"	0	1	0	0
"Arthropoda"	"AAMP1"	"Marine"	7	3	0	1
"Arthropoda"	"AASP1"	"Terrestrial"	8	1	0	0
"Arthropoda"	"AAST1"	"Freshwater"	2	1	0	2
"Arthropoda"	"ABRU1"	"Terrestrial"	4	4	0	1
"Arthropoda"	"ACER1"	"Terrestrial"	5	1	0	1
"Arthropoda"	"ACHA1"	"Terrestrial"	3	0	0	1
"Arthropoda"	"ACOL1"	"Terrestrial"	1	7	0	1
"Arthropoda"	"ADEN1"	"Terrestrial"	2	3	0	0
"Arthropoda"	"AEMA1"	"Freshwater"	2	4	0	0
"Arthropoda"	"AFOR1"	"Terrestrial"	4	1	0	1
"Arthropoda"	"AGAM2"	"Freshwater"	8	0	0	1
"Arthropoda"	"AGIR1"	"Terrestrial"	8	1	0	2
"Arthropoda"	"AGRA1"	"Terrestrial"	12	1	0	2
"Arthropoda"	"AINS1"	"Freshwater"	4	0	0	0
"Arthropoda"	"AJAP1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"AMAR1"	"Marine"	4	2	0	2
"Arthropoda"	"AMEL3"	"Terrestrial"	5	0	0	1
"Arthropoda"	"AMER1"	"Marine"	8	0	0	1
"Arthropoda"	"ANAS1"	"Terrestrial"	1	1	0	1
"Arthropoda"	"ANEO1"	"Terrestrial"	1	4	0	1
"Arthropoda"	"ANIN1"	"Marine"	1	2	0	0
"Arthropoda"	"AORN1"	"Terrestrial"	7	2	0	1
"Arthropoda"	"APIS2"	"Terrestrial"	4	0	0	1
"Arthropoda"	"APOL1"	"Terrestrial"	2	4	0	1
"Arthropoda"	"ARAQ1"	"Freshwater"	4	2	0	1
"Arthropoda"	"ARCH1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"AROY1"	"Brackish"	3	4	0	2
"Arthropoda"	"ASAL1"	"Brackish"	2	0	0	1
"Arthropoda"	"ASIA1"	"Marine"	3	3	0	1
"Arthropoda"	"AVUL2"	"Terrestrial"	3	1	0	1
"Arthropoda"	"BAET1"	"Freshwater"	7	0	0	0
"Arthropoda"	"BATR1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"BCOP1"	"Terrestrial"	6	0	0	2
"Arthropoda"	"BGER4"	"Terrestrial"	5	0	0	1
"Arthropoda"	"BGRA1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"BHYE1"	"Terrestrial"	5	0	0	1
"Arthropoda"	"BLEC1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"BLIN1"	"Freshwater"	2	1	0	1
"Arthropoda"	"BMOR1"	"Terrestrial"	6	0	0	0
"Arthropoda"	"BWIT1"	"Terrestrial"	3	3	0	1
"Arthropoda"	"CANO1"	"Terrestrial"	7	1	0	2
"Arthropoda"	"CBEC1"	"Terrestrial"	1	4	0	1
"Arthropoda"	"CBOL1"	"Freshwater"	4	1	0	1
"Arthropoda"	"CCEL1"	"Terrestrial"	6	3	0	1
"Arthropoda"	"CCFQ1"	"Brackish"	2	4	0	1
"Arthropoda"	"CCOR1"	"Freshwater"	5	0	0	1
"Arthropoda"	"CDIP1"	"Freshwater"	5	3	0	2
"Arthropoda"	"CFEL1"	"Terrestrial"	8	0	0	1
"Arthropoda"	"CFIN1"	"Marine"	6	6	0	4
"Arthropoda"	"CFLA1"	"Terrestrial"	6	1	0	1
"Arthropoda"	"CGAL1"	"Terrestrial"	3	0	0	1
"Arthropoda"	"CGEL1"	"Terrestrial"	6	3	0	2
"Arthropoda"	"CHIS1"	"Freshwater"	2	2	0	0
"Arthropoda"	"CHOR1"	"Terrestrial"	8	1	0	2
"Arthropoda"	"CIOA1"	"Terrestrial"	4	3	0	1
"Arthropoda"	"CISR1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"CJAP1"	"Freshwater"	4	0	0	1
"Arthropoda"	"CLEC1"	"Terrestrial"	6	0	0	1
"Arthropoda"	"CNIP1"	"Terrestrial"	8	0	0	1
"Arthropoda"	"CQUA2"	"Freshwater"	3	1	0	2
"Arthropoda"	"CRAS1"	"Terrestrial"	3	1	0	0
"Arthropoda"	"CROT1"	"Marine"	17	7	0	3
"Arthropoda"	"CRYP1"	"Terrestrial"	3	4	0	2
"Arthropoda"	"CSCU1"	"Terrestrial"	4	3	0	0
"Arthropoda"	"CSEC1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"CSEG1"	"Terrestrial"	3	4	0	2
"Arthropoda"	"CSIM1"	"Freshwater"	5	0	0	1
"Arthropoda"	"CTAS1"	"Terrestrial"	7	1	0	1
"Arthropoda"	"CVIR1"	"Terrestrial"	4	0	0	1
"Arthropoda"	"CVUL1"	"Terrestrial"	10	0	0	1
"Arthropoda"	"CYLI1"	"Terrestrial"	2	3	0	1
"Arthropoda"	"DAMO1"	"Terrestrial"	6	3	0	1
"Arthropoda"	"DAMP1"	"Terrestrial"	5	3	0	0
"Arthropoda"	"DAND1"	"Terrestrial"	0	3	0	0
"Arthropoda"	"DGAL1"	"Terrestrial"	1	2	0	1
"Arthropoda"	"DMAG1"	"Freshwater"	4	8	0	1
"Arthropoda"	"DMEL1"	"Terrestrial"	7	0	0	1
"Arthropoda"	"DPLE1"	"Terrestrial"	7	0	0	1
"Arthropoda"	"DPSE1"	"Terrestrial"	7	0	0	2
