"Phylum"	"Species"	"Habitat"	"AQP1-like"	"AQP3-like"	"AQP8-like"	"AQP11-like"
"Arthropoda"	"AAEG1"	"Non-marine"	6	0	0	1
"Arthropoda"	"AAME1"	"Non-marine"	0	1	0	0
"Arthropoda"	"AAMP1"	"Marine"	7	3	0	1
"Arthropoda"	"AASP1"	"Non-marine"	8	1	0	0
"Arthropoda"	"AAST1"	"Non-marine"	2	1	0	2
"Arthropoda"	"ABRU1"	"Non-marine"	4	4	0	1
"Arthropoda"	"ACER1"	"Non-marine"	5	1	0	1
"Arthropoda"	"ACHA1"	"Non-marine"	3	0	0	1
"Arthropoda"	"ACOL1"	"Non-marine"	1	7	0	1
"Arthropoda"	"ADEN1"	"Non-marine"	2	3	0	0
"Arthropoda"	"AEMA1"	"Non-marine"	2	4	0	0
"Arthropoda"	"AFOR1"	"Non-marine"	4	1	0	1
"Arthropoda"	"AGAM2"	"Non-marine"	8	0	0	1
"Arthropoda"	"AGIR1"	"Non-marine"	8	1	0	2
"Arthropoda"	"AGRA1"	"Non-marine"	12	1	0	2
"Arthropoda"	"AINS1"	"Non-marine"	4	0	0	0
"Arthropoda"	"AJAP1"	"Non-marine"	5	0	0	1
"Arthropoda"	"AMAR1"	"Marine"	4	2	0	2
"Arthropoda"	"AMEL3"	"Non-marine"	5	0	0	1
"Arthropoda"	"AMER1"	"Marine"	8	0	0	1
"Arthropoda"	"ANAS1"	"Non-marine"	1	1	0	1
"Arthropoda"	"ANEO1"	"Non-marine"	1	4	0	1
"Arthropoda"	"ANIN1"	"Marine"	1	2	0	0
"Arthropoda"	"AORN1"	"Non-marine"	7	2	0	1
"Arthropoda"	"APIS2"	"Non-marine"	4	0	0	1
"Arthropoda"	"APOL1"	"Non-marine"	2	4	0	1
"Arthropoda"	"ARAQ1"	"Non-marine"	4	2	0	1
"Arthropoda"	"ARCH1"	"Non-marine"	4	3	0	0
"Arthropoda"	"AROY1"	"Non-marine"	3	4	0	2
"Arthropoda"	"ASAL1"	"Non-marine"	2	0	0	1
"Arthropoda"	"ASIA1"	"Marine"	3	3	0	1
"Arthropoda"	"AVUL2"	"Non-marine"	3	1	0	1
"Arthropoda"	"BAET1"	"Non-marine"	7	0	0	0
"Arthropoda"	"BATR1"	"Non-marine"	6	0	0	1
"Arthropoda"	"BCOP1"	"Non-marine"	6	0	0	2
"Arthropoda"	"BGER4"	"Non-marine"	5	0	0	1
"Arthropoda"	"BGRA1"	"Non-marine"	2	3	0	1
"Arthropoda"	"BHYE1"	"Non-marine"	5	0	0	1
"Arthropoda"	"BLEC1"	"Non-marine"	2	3	0	1
"Arthropoda"	"BLIN1"	"Non-marine"	2	1	0	1
"Arthropoda"	"BMOR1"	"Non-marine"	6	0	0	0
"Arthropoda"	"BWIT1"	"Non-marine"	3	3	0	1
"Arthropoda"	"CANO1"	"Non-marine"	7	1	0	2
"Arthropoda"	"CBEC1"	"Non-marine"	1	4	0	1
"Arthropoda"	"CBOL1"	"Non-marine"	4	1	0	1
"Arthropoda"	"CCEL1"	"Non-marine"	6	3	0	1
"Arthropoda"	"CCFQ1"	"Non-marine"	2	4	0	1
"Arthropoda"	"CCOR1"	"Non-marine"	5	0	0	1
"Arthropoda"	"CDIP1"	"Non-marine"	5	3	0	2
"Arthropoda"	"CFEL1"	"Non-marine"	8	0	0	1
"Arthropoda"	"CFIN1"	"Marine"	6	6	0	4
"Arthropoda"	"CFLA1"	"Non-marine"	6	1	0	1
"Arthropoda"	"CGAL1"	"Non-marine"	3	0	0	1
"Arthropoda"	"CGEL1"	"Non-marine"	6	3	0	2
"Arthropoda"	"CHIS1"	"Non-marine"	2	2	0	0
"Arthropoda"	"CHOR1"	"Non-marine"	8	1	0	2
"Arthropoda"	"CIOA1"	"Non-marine"	4	3	0	1
"Arthropoda"	"CISR1"	"Non-marine"	4	3	0	0
"Arthropoda"	"CJAP1"	"Non-marine"	4	0	0	1
"Arthropoda"	"CLEC1"	"Non-marine"	6	0	0	1
"Arthropoda"	"CNIP1"	"Non-marine"	8	0	0	1
"Arthropoda"	"CQUA2"	"Non-marine"	3	1	0	2
"Arthropoda"	"CRAS1"	"Non-marine"	3	1	0	0
"Arthropoda"	"CROT1"	"Marine"	17	7	0	3
"Arthropoda"	"CRYP1"	"Non-marine"	3	4	0	2
"Arthropoda"	"CSCU1"	"Non-marine"	4	3	0	0
"Arthropoda"	"CSEC1"	"Non-marine"	4	0	0	1
"Arthropoda"	"CSEG1"	"Non-marine"	3	4	0	2
"Arthropoda"	"CSIM1"	"Non-marine"	5	0	0	1
"Arthropoda"	"CTAS1"	"Non-marine"	7	1	0	1
"Arthropoda"	"CVIR1"	"Non-marine"	4	0	0	1
"Arthropoda"	"CVUL1"	"Non-marine"	10	0	0	1
"Arthropoda"	"CYLI1"	"Non-marine"	2	3	0	1
"Arthropoda"	"DAMO1"	"Non-marine"	6	3	0	1
"Arthropoda"	"DAMP1"	"Non-marine"	5	3	0	0
"Arthropoda"	"DAND1"	"Non-marine"	0	3	0	0
"Arthropoda"	"DGAL1"	"Non-marine"	1	2	0	1
"Arthropoda"	"DMAG1"	"Non-marine"	4	8	0	1
"Arthropoda"	"DMEL1"	"Non-marine"	7	0	0	1
"Arthropoda"	"DPLE1"	"Non-marine"	7	0	0	1
"Arthropoda"	"DPSE1"	"Non-marine"	7	0	0	2
"Arthropoda"	"DPTE1"	"Non-marine"	1	5	0	0
"Arthropoda"	"DTIN1"	"Non-marine"	6	10	0	2
"Arthropoda"	"EAFF1"	"Marine"	4	5	0	3
"Arthropoda"	"EBRI1"	"Non-marine"	6	1	0	1
"Arthropoda"	"EHIA1"	"Marine"	6	0	0	1
"Arthropoda"	"ELEO1"	"Non-marine"	4	4	0	1
"Arthropoda"	"ENOR1"	"Marine"	2	3	0	1
"Arthropoda"	"EOCY1"	"Non-marine"	3	4	0	1
"Arthropoda"	"ESER1"	"Non-marine"	3	5	0	4
"Arthropoda"	"ETAI1"	"Non-marine"	3	2	0	0
"Arthropoda"	"ETAK1"	"Non-marine"	2	3	0	1
"Arthropoda"	"ETIC1"	"Non-marine"	3	3	0	1
"Arthropoda"	"EULI1"	"Non-marine"	1	2	0	2
"Arthropoda"	"EZAR1"	"Non-marine"	3	5	0	1
"Arthropoda"	"FARI1"	"Non-marine"	6	0	0	0
